iter	Logloss
0	0.6621106336
1	0.6433487861
2	0.60774467
3	0.5838095637
4	0.5569663802
5	0.5382513467
6	0.5136429139
7	0.4920677433
8	0.4757692177
9	0.4615525318
10	0.4513775991
11	0.4378321495
12	0.4261165113
13	0.4119669759
14	0.3967217049
15	0.3866012879
16	0.372435983
17	0.3612033732
18	0.3502804316
19	0.3378240902
20	0.331240968
21	0.3242529984
22	0.3184093675
23	0.3131613911
24	0.3037338125
25	0.2924998865
26	0.2829211885
27	0.2769724538
28	0.2694327024
29	0.2620783729
30	0.2542252049
31	0.2447135514
32	0.2374807756
33	0.2281904756
34	0.2207205429
35	0.2113494154
36	0.207316923
37	0.2016192323
38	0.1955932997
39	0.1917966908
40	0.1863899954
41	0.1838607907
42	0.1803524371
43	0.1769418262
44	0.1721930901
45	0.1675753243
46	0.1651017082
47	0.160883644
48	0.1573464951
49	0.1534708667
50	0.1504330566
51	0.1467127101
52	0.1432957674
53	0.1406354028
54	0.1369542075
55	0.1340828045
56	0.1316274166
57	0.1289034754
58	0.1261505538
59	0.1230108414
60	0.1196058973
61	0.1173462962
62	0.1151183596
63	0.1126100753
64	0.1105782885
65	0.1079820043
66	0.1057319778
67	0.103605557
68	0.1018682659
69	0.09936237661
70	0.09790842434
71	0.0966042188
72	0.09483827597
73	0.09311425868
74	0.09127348854
75	0.08968921343
76	0.08778000633
77	0.08624695147
78	0.08496607844
79	0.08336584012
80	0.08226092902
81	0.08092579589
82	0.07984347133
83	0.07881277704
84	0.07747114339
85	0.0758398348
86	0.07390084886
87	0.07264332097
88	0.07128680062
89	0.07004879596
90	0.06899846103
91	0.06817592601
92	0.06736433657
93	0.06634289906
94	0.06554773341
95	0.06443793111
96	0.06275320773
97	0.06176357561
98	0.061189722
99	0.06018948748
100	0.05940391456
101	0.05836325365
102	0.05764301826
103	0.05642523944
104	0.05547885682
105	0.0546622642
106	0.05349355084
107	0.05276271486
108	0.0521104432
109	0.0515669446
110	0.05099567024
111	0.05039642866
112	0.04989106439
113	0.04929636179
114	0.04850382687
115	0.04784612126
116	0.04717623373
117	0.04658802261
118	0.04603967707
119	0.04555049546
120	0.04509842857
121	0.04446320565
122	0.04403813877
123	0.04334445363
124	0.04288665838
125	0.04244753924
126	0.04192984494
127	0.04150614896
128	0.04113043923
129	0.04059961835
130	0.04011012788
131	0.03978561402
132	0.03940531654
133	0.03893518764
134	0.03860449748
135	0.03800841314
136	0.0376755158
137	0.03717161455
138	0.03680106152
139	0.03639164356
140	0.03599608368
141	0.03574355056
142	0.03543863308
143	0.03496938922
144	0.03451916466
145	0.03425652855
146	0.03387887806
147	0.03341470872
148	0.03316582322
149	0.03292558581
150	0.03268426197
151	0.03224951655
152	0.0320141893
153	0.03178347418
154	0.03155502495
155	0.03122777289
156	0.03100958739
157	0.03079410487
158	0.03058344491
159	0.03037524319
160	0.03017012646
161	0.02996563016
162	0.02976577399
163	0.02956685163
164	0.02937473413
165	0.02918113374
166	0.02899836604
167	0.02880948615
168	0.02862630303
169	0.02844383516
170	0.02826156597
171	0.02808341673
172	0.02790597371
173	0.02773269038
174	0.02756296707
175	0.02739155857
176	0.02721869427
177	0.02705233139
178	0.02688465541
179	0.02672135675
180	0.02656149169
181	0.02640354119
182	0.02624780872
183	0.02609375601
184	0.02594108865
185	0.02579138166
186	0.02564417626
187	0.02549479438
188	0.02534999484
189	0.02520617245
190	0.0250628829
191	0.02492232612
192	0.02478264851
193	0.0246448471
194	0.02450852812
195	0.02437321701
196	0.02424043051
197	0.02410783908
198	0.02397743451
199	0.02384837015
200	0.02372052587
201	0.02359388677
202	0.02346845016
203	0.02334442329
204	0.02322183731
205	0.02310079745
206	0.02298096457
207	0.02286156654
208	0.02274409257
209	0.02262781114
210	0.02251290422
211	0.02239811788
212	0.02228515941
213	0.02217343321
214	0.02206287744
215	0.02195312453
216	0.02184468336
217	0.0217371313
218	0.02163102285
219	0.02152534111
220	0.02142109124
221	0.02131838477
222	0.02121563043
223	0.02111427815
224	0.02101342394
225	0.02091429916
226	0.02081558846
227	0.02071772622
228	0.02062145389
229	0.02052550712
230	0.02043081521
231	0.02033624658
232	0.02024347918
233	0.02015107573
234	0.02005974787
235	0.01996905896
236	0.01987880715
237	0.01978878427
238	0.0196990409
239	0.01961009317
240	0.0195226211
241	0.01943615057
242	0.01935112545
243	0.01926664761
244	0.01918244522
245	0.01909999981
246	0.01901792828
247	0.01893616607
248	0.01885531869
249	0.01877558755
250	0.01869591872
251	0.01861729027
252	0.01853902982
253	0.01846172125
254	0.01838426953
255	0.01830842263
256	0.01823307062
257	0.01815799541
258	0.01808386982
259	0.01800989278
260	0.01793727085
261	0.01786401042
262	0.01779098977
263	0.01771795738
264	0.01764637581
265	0.01757479516
266	0.01750423139
267	0.01743147309
268	0.01735997461
269	0.01729060293
270	0.01722007168
271	0.01715366759
272	0.01708706528
273	0.01702140986
274	0.01695550609
275	0.01689077139
276	0.01682641102
277	0.01676275868
278	0.0166988327
279	0.01663641084
280	0.0165734724
281	0.01651105731
282	0.01644978735
283	0.01638837741
284	0.01632782903
285	0.01626742334
286	0.01620714318
287	0.01614837391
288	0.01608935357
289	0.01603065384
290	0.01597229367
291	0.01591466411
292	0.01585766627
293	0.01580059256
294	0.01574457143
295	0.01568793979
296	0.01563230789
297	0.01557681236
298	0.01552008364
299	0.01546448831
