iter	Logloss
0	0.6741784436
1	0.6519443455
2	0.6322706177
3	0.5996067211
4	0.574984853
5	0.5492329968
6	0.5390754897
7	0.5203379603
8	0.5015263158
9	0.4945138525
10	0.4798683943
11	0.4659990638
12	0.4525923216
13	0.4437057742
14	0.4340903994
15	0.4258310807
16	0.4217050125
17	0.4038275723
18	0.3988729607
19	0.387799337
20	0.3755204975
21	0.3704276235
22	0.3631922379
23	0.3486772551
24	0.3329993659
25	0.3265914612
26	0.322955842
27	0.3167332141
28	0.3094475811
29	0.3033438318
30	0.2994904809
31	0.296143613
32	0.2893355327
33	0.282659687
34	0.277818407
35	0.2717155001
36	0.2683464042
37	0.2611321278
38	0.2570965038
39	0.2498013667
40	0.2428799929
41	0.2383148215
42	0.2321808134
43	0.2300204072
44	0.2252983771
45	0.2195337948
46	0.2177509381
47	0.2123078723
48	0.2058406204
49	0.2008431213
50	0.1979779373
51	0.1947835566
52	0.1932370586
53	0.1860113212
54	0.1831861306
55	0.1810676286
56	0.1748448156
57	0.1717296359
58	0.1674615752
59	0.1636592011
60	0.1594466181
61	0.1562483638
62	0.1540264055
63	0.1524771642
64	0.1502522758
65	0.147694875
66	0.1453905858
67	0.1419505231
68	0.1379093769
69	0.1363108678
70	0.133661982
71	0.1315180447
72	0.1298256097
73	0.1266861322
74	0.1240210313
75	0.1219199957
76	0.1208534539
77	0.1191024263
78	0.1170144963
79	0.1151456204
80	0.1133344149
81	0.1113966599
82	0.1096213557
83	0.1077265335
84	0.105909204
85	0.1041475058
86	0.1024886756
87	0.1005476977
88	0.09993733462
89	0.09865348765
90	0.0976677835
91	0.09557573964
92	0.09460688984
93	0.09234182448
94	0.09110966311
95	0.0888749775
96	0.08785680071
97	0.08564617591
98	0.08475943295
99	0.08367937817
100	0.08281918762
101	0.08110176554
102	0.08041086955
103	0.07890632233
104	0.07737635332
105	0.07615482807
106	0.07478432393
107	0.07359264932
108	0.07270262717
109	0.07126372277
110	0.07029492294
111	0.06850260174
112	0.06754435545
113	0.06641479033
114	0.06442885908
115	0.0632974962
116	0.06179852739
117	0.06100788759
118	0.06020673968
119	0.05847540064
120	0.05717142821
121	0.05637978155
122	0.0553106221
123	0.05413217352
124	0.05331895944
125	0.05223512981
126	0.05110920579
127	0.05017866123
128	0.04934479322
129	0.04859992197
130	0.04766526153
131	0.0467300797
132	0.04589650542
133	0.04551177274
134	0.04465881536
135	0.04412679491
136	0.04336681637
137	0.0425908805
138	0.04188773555
139	0.04129201559
140	0.04049565193
141	0.03985827723
142	0.03929232483
143	0.03877259163
144	0.03847787251
145	0.03797822043
146	0.03755092549
147	0.03699885305
148	0.03662842879
149	0.03623588755
150	0.03582891918
151	0.03532383072
152	0.03499614703
153	0.03434863141
154	0.03404477113
155	0.03355756284
156	0.03309530303
157	0.03251578144
158	0.03224451444
159	0.03183154031
160	0.03157888186
161	0.03114798511
162	0.03085393067
163	0.03060194469
164	0.03020033259
165	0.02995860564
166	0.02956331901
167	0.0293358644
168	0.02897695559
169	0.02863516769
170	0.02841933014
171	0.02798043994
172	0.02777639901
173	0.02745870836
174	0.02726208828
175	0.02709405983
176	0.02690606947
177	0.02660472497
178	0.02634042199
179	0.02616047947
180	0.02600700373
181	0.02585662692
182	0.02569249492
183	0.025547942
184	0.02535031547
185	0.02518919927
186	0.02483679329
187	0.02457269644
188	0.02442123474
189	0.02424134745
190	0.02407027712
191	0.02390447883
192	0.02358583851
193	0.02337609356
194	0.02324529928
195	0.02312067389
196	0.02300015252
197	0.02287209325
198	0.02268144314
199	0.02255784779
200	0.02246448962
201	0.0223550433
202	0.02216368273
203	0.0220365139
204	0.02194841231
205	0.02186176787
206	0.02174943978
207	0.0215687208
208	0.02146824125
209	0.02138599118
210	0.02120998512
211	0.02111275376
212	0.02098587541
213	0.020883638
214	0.02063158346
215	0.02047074907
216	0.02031491355
217	0.02024095626
218	0.020159009
219	0.02008696219
220	0.01982421959
221	0.01974623585
222	0.01965837204
223	0.01958301903
224	0.01936075904
225	0.01928952062
226	0.01919288017
227	0.01905188927
228	0.01898816948
229	0.01875114683
230	0.01868427371
231	0.01859362467
232	0.01850471475
233	0.01837470872
234	0.01831565113
235	0.01822936522
236	0.01817160215
237	0.01804696395
238	0.01783034945
239	0.01776695874
240	0.01757823959
241	0.01746135328
242	0.01740223583
243	0.0173231685
244	0.0172452157
245	0.01706806886
246	0.01695796122
247	0.01690712463
248	0.01685730977
249	0.01678275748
250	0.01672937248
251	0.0166577575
252	0.01655158502
253	0.01636713532
254	0.0163206265
255	0.0162701677
256	0.01621336749
257	0.0161462811
258	0.0160912974
259	0.01602477868
260	0.01587057577
261	0.01581758154
262	0.0157520841
263	0.01565626786
264	0.01550688909
265	0.01544986622
266	0.01538852006
267	0.01533850392
268	0.01527793973
269	0.01514033383
270	0.01509124323
271	0.0150379278
272	0.01490370839
273	0.01477159692
274	0.01464156607
275	0.01457982512
276	0.01445341387
277	0.01433013938
278	0.01420512792
279	0.01408256273
280	0.01404437932
281	0.01392837929
282	0.01387787712
283	0.01376077049
284	0.01364561238
285	0.01353144377
286	0.01342043661
287	0.01331200222
288	0.01320479646
289	0.0130999535
290	0.0129972458
291	0.01296578522
292	0.01286432933
293	0.01276520594
294	0.01266752744
295	0.01257145902
296	0.01249098292
297	0.01241166299
298	0.01233352303
299	0.01225587064
